Age,Gender,Smoker,Exercise_Freq,Diet_Quality,Alcohol_Consumption
51,Female,Yes,None,Poor,Low
40,Male,Yes,None,Average,Moderate
54,Male,Yes,None,Good,None
28,Male,No,3-5 times/week,Poor,None
23,Male,No,1-2 times/week,Good,None
35,Male,No,1-2 times/week,Poor,Moderate
38,Other,No,1-2 times/week,Excellent,Moderate
59,Other,No,None,Poor,None
53,Male,Yes,Daily,Poor,None
58,Female,No,Daily,Good,None
55,Male,Yes,None,Good,None
51,Other,No,3-5 times/week,Poor,Low
34,Male,No,3-5 times/week,Good,Moderate
54,Other,No,1-2 times/week,Poor,High
42,Other,No,Daily,Excellent,None
55,Male,Yes,3-5 times/week,Excellent,Low
29,Male,No,Daily,Average,High
40,Female,Yes,Daily,Good,High
59,Other,No,3-5 times/week,Poor,None
39,Female,No,None,Excellent,None
38,Male,No,1-2 times/week,Average,Low
44,Other,No,1-2 times/week,Average,None
48,Female,No,3-5 times/week,Poor,High
23,Female,No,None,Average,None
44,Female,Yes,3-5 times/week,Average,Low
57,Male,No,3-5 times/week,Poor,Low
51,Male,No,Daily,Average,Low
29,Male,No,Daily,Average,Low
62,Other,No,1-2 times/week,Poor,Low
24,Male,No,Daily,Poor,None
27,Other,No,Daily,Excellent,Moderate
62,Female,No,None,Average,Low
34,Female,No,3-5 times/week,Excellent,Moderate
43,Male,No,3-5 times/week,Excellent,None
38,Female,No,None,Good,Low
45,Male,Yes,Daily,Poor,Moderate
63,Other,No,Daily,Good,Moderate
19,Female,Yes,3-5 times/week,Poor,High
60,Male,No,1-2 times/week,Good,Moderate
18,Female,Yes,3-5 times/week,Poor,High
68,Female,No,1-2 times/week,Average,High
53,Male,Yes,Daily,Average,Moderate
68,Female,No,1-2 times/week,Excellent,High
43,Female,No,1-2 times/week,Good,Moderate
46,Female,Yes,1-2 times/week,Excellent,High
38,Female,No,1-2 times/week,Good,Low
28,Other,No,1-2 times/week,Poor,Low
57,Female,No,3-5 times/week,Poor,Low
28,Female,No,None,Good,Moderate
53,Male,No,Daily,Good,Moderate
66,Other,No,3-5 times/week,Average,None
56,Male,No,None,Good,Moderate
57,Male,No,3-5 times/week,Average,None
52,Male,No,None,Good,None
51,Other,No,3-5 times/week,Average,Low
64,Male,Yes,Daily,Excellent,Moderate
41,Male,No,Daily,Average,Moderate
39,Male,Yes,1-2 times/week,Excellent,None
22,Female,No,None,Average,None
50,Male,Yes,3-5 times/week,Poor,Moderate
53,Other,No,1-2 times/week,Average,None
64,Other,No,3-5 times/week,Good,Moderate
37,Female,Yes,Daily,Excellent,Moderate
36,Other,Yes,Daily,Good,High
52,Other,Yes,None,Good,None
69,Female,No,3-5 times/week,Poor,Low
60,Male,No,3-5 times/week,Average,Moderate
34,Female,No,1-2 times/week,Poor,None
62,Male,Yes,Daily,Average,None
60,Male,No,1-2 times/week,Good,None
51,Other,No,1-2 times/week,Average,Moderate
26,Female,No,None,Poor,Moderate
43,Other,Yes,1-2 times/week,Excellent,Moderate
19,Other,No,None,Poor,None
26,Male,No,Daily,Poor,Low
26,Other,No,1-2 times/week,Poor,High
57,Female,No,1-2 times/week,Excellent,Low
34,Other,No,1-2 times/week,Good,Moderate
18,Other,No,1-2 times/week,Poor,Moderate
42,Male,No,Daily,Poor,Moderate
60,Female,Yes,None,Poor,Low
57,Other,Yes,Daily,Excellent,Low
59,Male,Yes,None,Excellent,Moderate
42,Other,No,None,Excellent,High
56,Female,Yes,1-2 times/week,Good,High
52,Other,Yes,1-2 times/week,Average,None
20,Other,No,1-2 times/week,Good,Low
67,Male,No,None,Good,High
54,Other,No,3-5 times/week,Good,Moderate
61,Male,No,3-5 times/week,Average,Low
61,Female,No,3-5 times/week,Poor,None
68,Other,No,Daily,Excellent,None
47,Female,No,None,Good,Low
55,Female,No,3-5 times/week,Excellent,Moderate
51,Other,No,None,Excellent,High
29,Male,No,None,Excellent,Low
36,Female,No,Daily,Poor,Moderate
54,Female,No,1-2 times/week,Excellent,Low
61,Other,No,1-2 times/week,Excellent,None
66,Other,No,Daily,Poor,Low
34,Other,No,Daily,Excellent,Moderate
27,Other,No,None,Average,Moderate
66,Other,No,3-5 times/week,Average,None
64,Other,Yes,None,Good,Moderate
29,Male,Yes,None,Average,Moderate
33,Female,No,3-5 times/week,Average,None
41,Male,No,1-2 times/week,Average,Moderate
36,Male,Yes,None,Poor,Moderate
25,Other,No,1-2 times/week,Average,Low
48,Female,Yes,1-2 times/week,Excellent,Low
38,Male,No,1-2 times/week,Good,Low
34,Other,No,None,Excellent,Low
40,Other,Yes,3-5 times/week,Excellent,High
54,Female,No,3-5 times/week,Average,Low
33,Male,Yes,1-2 times/week,Good,Low
23,Male,No,1-2 times/week,Excellent,Low
25,Male,Yes,3-5 times/week,Good,None
42,Other,No,Daily,Average,Low
35,Female,Yes,Daily,Excellent,High
42,Female,No,1-2 times/week,Poor,High
29,Male,No,3-5 times/week,Excellent,High
32,Other,Yes,Daily,Excellent,Moderate
43,Male,Yes,3-5 times/week,Good,None
58,Female,No,None,Good,Low
62,Other,Yes,1-2 times/week,Good,Low
43,Male,No,Daily,Average,Moderate
64,Male,No,1-2 times/week,Good,None
49,Other,Yes,None,Average,Moderate
27,Female,No,3-5 times/week,Good,High
33,Other,No,1-2 times/week,Poor,Moderate
24,Male,No,Daily,Good,None
34,Male,Yes,None,Average,Moderate
40,Male,Yes,Daily,Average,None
43,Male,No,3-5 times/week,Excellent,Moderate
38,Female,Yes,Daily,Good,None
39,Female,Yes,Daily,Average,Low
24,Male,Yes,Daily,Excellent,High
31,Female,Yes,None,Poor,None
32,Female,No,Daily,Average,Moderate
24,Female,No,Daily,Good,Moderate
26,Male,Yes,None,Poor,High
68,Other,No,None,Average,Low
65,Other,No,None,Good,Low
25,Other,No,3-5 times/week,Average,Low
67,Male,No,None,Good,None
40,Female,No,3-5 times/week,Excellent,High
46,Female,No,None,Average,None
35,Male,No,None,Average,None
48,Male,Yes,1-2 times/week,Poor,None
47,Other,No,1-2 times/week,Excellent,None
69,Other,No,1-2 times/week,Poor,Moderate
56,Male,No,1-2 times/week,Average,Moderate
52,Other,Yes,None,Excellent,Moderate
35,Female,Yes,None,Good,None
59,Male,No,3-5 times/week,Excellent,Low
56,Male,No,None,Excellent,Moderate
34,Female,No,3-5 times/week,Good,High
31,Female,Yes,Daily,Average,Moderate
48,Female,No,Daily,Average,None
41,Other,Yes,None,Poor,None
52,Male,No,Daily,Average,None
61,Other,No,None,Average,Moderate
62,Female,Yes,3-5 times/week,Good,Low
51,Other,Yes,1-2 times/week,Poor,None
20,Female,Yes,Daily,Excellent,High
54,Other,No,None,Poor,None
60,Other,No,1-2 times/week,Average,Low
57,Female,No,3-5 times/week,Poor,Low
43,Other,Yes,None,Excellent,Low
40,Male,No,Daily,Good,None
61,Other,Yes,3-5 times/week,Average,High
56,Other,Yes,None,Average,High
32,Male,No,Daily,Excellent,None
66,Female,No,3-5 times/week,Good,Moderate
21,Male,Yes,3-5 times/week,Poor,Moderate
46,Other,No,1-2 times/week,Excellent,High
39,Female,Yes,1-2 times/week,Poor,Moderate
42,Other,No,1-2 times/week,Good,Moderate
30,Other,No,None,Good,High
35,Male,Yes,3-5 times/week,Good,Moderate
50,Male,No,1-2 times/week,Good,Moderate
33,Female,No,Daily,Poor,None
62,Female,Yes,None,Excellent,Moderate
59,Female,No,1-2 times/week,Excellent,High
61,Other,No,None,Poor,None
19,Male,Yes,3-5 times/week,Good,High
52,Male,No,Daily,Good,None
59,Male,Yes,3-5 times/week,Average,High
51,Female,Yes,Daily,Average,Low
47,Male,No,3-5 times/week,Poor,None
30,Male,Yes,None,Excellent,None
30,Male,No,3-5 times/week,Average,None
35,Female,No,Daily,Average,High
49,Male,Yes,None,Excellent,Low
49,Female,No,None,Average,None
52,Male,No,Daily,Excellent,Low
56,Male,No,Daily,Poor,Moderate
63,Male,Yes,None,Average,None
69,Female,No,Daily,Good,Moderate
46,Female,Yes,3-5 times/week,Poor,None
66,Male,Yes,3-5 times/week,Average,Low
46,Other,No,3-5 times/week,Excellent,Moderate
61,Female,Yes,None,Poor,High
33,Female,Yes,3-5 times/week,Average,None
61,Male,No,None,Poor,None
64,Other,No,Daily,Good,Low
27,Male,Yes,3-5 times/week,Average,High
47,Female,Yes,None,Average,None
42,Female,No,1-2 times/week,Excellent,Moderate
56,Male,No,3-5 times/week,Poor,High
37,Male,No,3-5 times/week,Good,High
22,Other,No,None,Excellent,Low
18,Other,Yes,None,Average,Moderate
47,Female,Yes,Daily,Excellent,Moderate
66,Other,Yes,None,Excellent,None
20,Other,No,Daily,Good,None
62,Female,No,1-2 times/week,Average,High
31,Female,No,Daily,Good,High
47,Female,No,3-5 times/week,Average,Low
67,Female,Yes,None,Poor,High
21,Male,No,1-2 times/week,Poor,Low
35,Female,Yes,1-2 times/week,Good,Low
54,Female,No,None,Excellent,Moderate
42,Female,No,3-5 times/week,Average,Moderate
65,Other,No,None,Average,High
18,Female,No,None,Good,High
63,Male,No,None,Excellent,Moderate
32,Male,No,Daily,Excellent,High
26,Female,No,1-2 times/week,Average,Moderate
32,Male,No,1-2 times/week,Poor,None
66,Other,No,3-5 times/week,Average,High
41,Female,No,1-2 times/week,Poor,Low
21,Male,No,None,Good,None
29,Male,No,1-2 times/week,Excellent,None
54,Female,No,3-5 times/week,Average,High
54,Male,No,Daily,Good,Moderate
60,Female,Yes,Daily,Excellent,Low
23,Male,No,None,Poor,Moderate
56,Other,No,None,Good,High
63,Male,Yes,1-2 times/week,Good,Moderate
41,Male,No,1-2 times/week,Average,High
28,Female,No,3-5 times/week,Good,High
30,Male,Yes,None,Good,Low
51,Female,Yes,3-5 times/week,Average,High
42,Other,No,Daily,Good,Low
24,Female,No,1-2 times/week,Poor,None
69,Female,No,None,Average,Moderate
21,Male,No,1-2 times/week,Poor,High
25,Other,No,None,Average,Moderate
37,Female,Yes,Daily,Excellent,Moderate
46,Male,No,3-5 times/week,Good,Low
68,Male,No,None,Excellent,Moderate
62,Female,Yes,1-2 times/week,Poor,Moderate
63,Male,No,None,Excellent,Moderate
27,Female,No,3-5 times/week,Poor,High
60,Female,Yes,Daily,Excellent,Moderate
51,Female,No,1-2 times/week,Poor,None
43,Other,No,Daily,Good,Low
58,Female,Yes,Daily,Excellent,None
66,Male,No,3-5 times/week,Poor,Low
20,Other,No,None,Poor,Moderate
23,Male,Yes,None,Excellent,Low
22,Other,Yes,None,Excellent,High
22,Other,Yes,None,Excellent,High
64,Other,No,1-2 times/week,Good,None
40,Other,No,Daily,Good,High
66,Male,No,None,Good,Moderate
26,Female,No,Daily,Excellent,None
52,Male,No,1-2 times/week,Poor,None
37,Female,No,1-2 times/week,Poor,None
66,Male,No,1-2 times/week,Poor,High
59,Other,No,Daily,Average,Low
52,Other,No,None,Excellent,High
67,Female,No,Daily,Poor,None
35,Female,No,None,Excellent,Low
34,Male,No,3-5 times/week,Excellent,None
41,Female,No,None,Poor,None
20,Male,No,None,Excellent,Low
49,Female,Yes,None,Average,Low
52,Female,No,1-2 times/week,Average,None
55,Female,Yes,3-5 times/week,Poor,None
30,Other,No,None,Excellent,High
64,Other,No,3-5 times/week,Average,High
42,Male,Yes,Daily,Poor,High
26,Female,Yes,Daily,Good,Moderate
21,Male,Yes,1-2 times/week,Good,None
31,Female,Yes,Daily,Good,High
54,Other,No,3-5 times/week,Good,None
51,Other,No,3-5 times/week,Average,Moderate
28,Female,No,3-5 times/week,Poor,High
58,Female,No,3-5 times/week,Average,High
20,Other,No,3-5 times/week,Good,None
45,Other,No,1-2 times/week,Excellent,None
46,Male,No,None,Good,Low
26,Other,No,Daily,Excellent,Low
20,Female,No,3-5 times/week,Poor,High
42,Male,No,Daily,Average,Low
51,Female,Yes,1-2 times/week,Excellent,High
29,Male,No,1-2 times/week,Good,None
59,Female,No,None,Average,Low
26,Other,No,1-2 times/week,Excellent,High
32,Female,No,None,Poor,None
57,Male,No,3-5 times/week,Excellent,High
42,Female,No,1-2 times/week,Excellent,Moderate
22,Male,Yes,Daily,Poor,Low
28,Female,No,1-2 times/week,Average,Moderate
51,Other,Yes,1-2 times/week,Poor,None
41,Other,No,3-5 times/week,Average,High
32,Female,No,None,Average,High
55,Female,Yes,None,Average,None
25,Female,Yes,1-2 times/week,Excellent,Moderate
22,Male,No,Daily,Good,High
65,Female,No,1-2 times/week,Good,Moderate
43,Female,Yes,Daily,Excellent,Moderate
35,Male,No,3-5 times/week,Average,Moderate
23,Other,No,3-5 times/week,Poor,Low
54,Female,Yes,None,Poor,Moderate
65,Female,No,Daily,Good,Low
30,Other,No,1-2 times/week,Average,Moderate
45,Other,No,1-2 times/week,Excellent,Moderate
22,Male,No,1-2 times/week,Excellent,Low
30,Female,No,1-2 times/week,Good,High
34,Female,No,3-5 times/week,Average,High
67,Male,Yes,Daily,Poor,None
57,Other,No,3-5 times/week,Poor,None
62,Male,No,Daily,Excellent,High
49,Other,No,None,Good,None
46,Male,No,Daily,Excellent,High
68,Other,No,1-2 times/week,Poor,None
20,Male,No,3-5 times/week,Excellent,High
57,Other,No,1-2 times/week,Average,Low
51,Other,No,Daily,Poor,None
57,Other,No,Daily,Poor,Low
44,Other,No,None,Excellent,Low
30,Other,No,Daily,Excellent,Low
62,Female,No,Daily,Good,Low
50,Other,No,1-2 times/week,Excellent,Low
23,Female,No,Daily,Average,Moderate
41,Other,No,Daily,Good,Low
36,Female,Yes,3-5 times/week,Good,None
33,Female,No,3-5 times/week,Poor,Low
57,Male,No,None,Average,None
45,Other,No,None,Average,Low
50,Male,No,1-2 times/week,Good,None
65,Male,No,1-2 times/week,Good,Low
58,Other,Yes,3-5 times/week,Poor,High
30,Male,No,3-5 times/week,Excellent,Moderate
60,Other,No,3-5 times/week,Average,None
62,Male,No,None,Average,None
42,Other,No,None,Poor,Low
59,Other,No,Daily,Good,None
53,Other,No,None,Average,Low
44,Female,No,Daily,Poor,Moderate
55,Male,No,1-2 times/week,Good,High
24,Female,Yes,None,Poor,High
22,Male,Yes,1-2 times/week,Average,Moderate
60,Male,No,Daily,Good,Low
62,Male,No,1-2 times/week,Poor,Low
68,Female,No,1-2 times/week,Poor,Moderate
48,Male,No,None,Poor,None
40,Female,No,Daily,Average,None
59,Other,No,Daily,Average,None
27,Male,No,3-5 times/week,Excellent,Moderate
49,Male,Yes,None,Average,High
60,Other,No,None,Poor,High
47,Other,No,Daily,Average,High
56,Male,No,None,Poor,Low
48,Other,No,1-2 times/week,Poor,Moderate
35,Female,Yes,3-5 times/week,Poor,None
53,Female,No,Daily,Good,High
19,Male,No,None,Excellent,High
31,Female,No,None,Excellent,High
30,Female,No,1-2 times/week,Poor,Low
46,Male,No,None,Average,Low
29,Other,Yes,None,Excellent,None
56,Male,No,1-2 times/week,Poor,High
19,Female,No,None,Average,High
49,Male,Yes,3-5 times/week,Good,High
30,Male,Yes,1-2 times/week,Good,Low
63,Female,Yes,Daily,Poor,None
44,Female,No,3-5 times/week,Average,Moderate
66,Male,No,None,Good,Low
58,Female,No,1-2 times/week,Good,High
34,Female,No,1-2 times/week,Good,None
57,Female,No,None,Average,None
48,Female,No,Daily,Poor,Moderate
51,Female,Yes,3-5 times/week,Poor,High
41,Female,No,None,Good,Low
62,Other,No,Daily,Poor,Low
52,Male,No,1-2 times/week,Excellent,Low
65,Female,No,1-2 times/week,Good,High
23,Male,No,1-2 times/week,Average,High
36,Other,No,None,Poor,High
47,Female,No,Daily,Average,Low
24,Male,Yes,None,Poor,High
27,Female,Yes,None,Average,High
58,Female,No,3-5 times/week,Average,High
49,Female,No,3-5 times/week,Poor,Moderate
51,Female,No,3-5 times/week,Good,Moderate
45,Female,No,Daily,Good,High
32,Female,No,1-2 times/week,Average,High
47,Female,No,3-5 times/week,Excellent,Low
54,Other,Yes,1-2 times/week,Average,None
46,Other,Yes,Daily,Excellent,High
39,Female,No,3-5 times/week,Good,Low
21,Female,No,3-5 times/week,Excellent,Low
37,Other,Yes,1-2 times/week,Poor,None
49,Other,No,None,Excellent,Low
53,Other,Yes,Daily,Poor,None
67,Female,No,Daily,Average,High
21,Male,No,3-5 times/week,Excellent,Moderate
44,Male,Yes,Daily,Poor,None
34,Male,Yes,1-2 times/week,Average,High
29,Male,Yes,None,Excellent,High
39,Female,Yes,None,Excellent,Moderate
34,Male,No,Daily,Poor,Low
27,Other,No,None,Average,None
18,Other,No,1-2 times/week,Poor,None
39,Male,No,3-5 times/week,Excellent,Low
43,Other,No,3-5 times/week,Average,Moderate
35,Female,No,Daily,Good,None
67,Male,Yes,Daily,Good,None
31,Male,Yes,Daily,Good,Low
64,Female,No,3-5 times/week,Excellent,High
46,Other,No,Daily,Good,Moderate
29,Female,No,None,Excellent,High
53,Female,Yes,3-5 times/week,Average,High
52,Other,Yes,1-2 times/week,Poor,Low
69,Female,No,Daily,Excellent,None
29,Other,No,3-5 times/week,Average,Low
24,Other,No,Daily,Average,High
46,Female,Yes,3-5 times/week,Average,Low
28,Other,No,3-5 times/week,Poor,Moderate
50,Female,No,3-5 times/week,Excellent,High
23,Other,Yes,1-2 times/week,Average,High
64,Male,Yes,3-5 times/week,Good,Moderate
32,Other,No,None,Good,Low
49,Other,No,Daily,Average,Low
68,Female,Yes,Daily,Good,Low
28,Other,No,Daily,Good,None
40,Male,No,3-5 times/week,Excellent,High
43,Male,No,Daily,Poor,Moderate
51,Other,No,None,Excellent,High
63,Other,No,None,Average,None
51,Male,No,None,Average,High
46,Female,No,1-2 times/week,Good,Moderate
21,Male,No,None,Excellent,Moderate
34,Male,No,None,Average,High
52,Other,No,Daily,Average,None
30,Other,Yes,3-5 times/week,Good,High
58,Male,No,Daily,Good,None
56,Female,Yes,1-2 times/week,Average,Low
32,Male,No,1-2 times/week,Excellent,Moderate
46,Male,No,1-2 times/week,Poor,High
46,Female,No,None,Excellent,Moderate
28,Male,No,None,Good,Moderate
69,Male,Yes,None,Average,High
49,Other,No,3-5 times/week,Good,Low
19,Female,Yes,Daily,Average,Moderate
64,Other,No,None,Average,Moderate
31,Other,Yes,1-2 times/week,Poor,None
37,Female,Yes,3-5 times/week,Good,None
39,Female,No,3-5 times/week,Poor,Low
28,Male,No,1-2 times/week,Excellent,High
44,Other,Yes,None,Good,Moderate
20,Female,No,3-5 times/week,Poor,Low
34,Other,No,1-2 times/week,Good,High
61,Other,No,None,Poor,None
45,Female,No,3-5 times/week,Poor,Moderate
46,Male,No,3-5 times/week,Good,Moderate
38,Other,Yes,Daily,Excellent,High
64,Female,No,Daily,Poor,Low
33,Male,Yes,3-5 times/week,Poor,Moderate
54,Other,Yes,3-5 times/week,Good,Moderate
37,Female,No,3-5 times/week,Excellent,None
23,Other,No,Daily,Good,Low
36,Female,No,None,Average,None
22,Female,Yes,Daily,Good,High
20,Other,Yes,1-2 times/week,Average,High
18,Other,No,3-5 times/week,Poor,Low
55,Female,No,1-2 times/week,Excellent,None
32,Male,No,1-2 times/week,Excellent,High
51,Other,No,1-2 times/week,Good,Low
52,Female,No,Daily,Average,High
66,Female,No,Daily,Good,Moderate
42,Male,No,None,Excellent,Moderate
41,Male,No,1-2 times/week,Average,Low
29,Male,No,1-2 times/week,Excellent,High
35,Other,No,Daily,Average,Low
32,Female,No,1-2 times/week,Good,Low
61,Female,No,Daily,Poor,Low
33,Female,No,3-5 times/week,Poor,Moderate
44,Male,Yes,3-5 times/week,Average,Low
25,Female,No,1-2 times/week,Average,Moderate
63,Other,No,None,Poor,Moderate
42,Male,No,Daily,Good,High
34,Male,No,3-5 times/week,Good,Low
46,Male,Yes,3-5 times/week,Excellent,High
25,Male,No,1-2 times/week,Excellent,Moderate
32,Other,No,Daily,Poor,Low
44,Female,No,1-2 times/week,Poor,Moderate
63,Other,No,Daily,Poor,Low
67,Female,Yes,None,Average,Low
69,Other,Yes,Daily,Excellent,None
24,Male,No,3-5 times/week,Poor,High
20,Male,No,1-2 times/week,Poor,None
46,Other,No,Daily,Excellent,Low
61,Other,No,3-5 times/week,Poor,None
41,Female,No,1-2 times/week,Poor,Moderate
20,Other,No,1-2 times/week,Good,Low
37,Other,No,None,Excellent,Low
63,Female,No,3-5 times/week,Good,Low
32,Female,No,Daily,Excellent,None
42,Female,No,3-5 times/week,Poor,High
47,Other,Yes,1-2 times/week,Average,High
31,Female,No,None,Average,High
24,Male,Yes,Daily,Good,None
34,Male,Yes,None,Average,Moderate
61,Male,No,None,Average,None
37,Other,No,3-5 times/week,Good,High
53,Male,No,1-2 times/week,Poor,None
26,Other,No,1-2 times/week,Excellent,Moderate
55,Other,No,Daily,Poor,Low
65,Male,No,None,Good,Low
39,Female,No,None,Poor,High
19,Other,No,None,Poor,High
41,Male,No,3-5 times/week,Good,Moderate
25,Other,No,1-2 times/week,Good,None
28,Female,No,None,Good,Moderate
30,Female,No,None,Average,Moderate
34,Male,No,1-2 times/week,Good,Low
25,Other,No,Daily,Good,None
38,Other,No,3-5 times/week,Good,Low
35,Other,Yes,3-5 times/week,Good,Low
47,Other,Yes,3-5 times/week,Poor,Moderate
35,Male,Yes,1-2 times/week,Good,Low
63,Female,No,3-5 times/week,Excellent,High
64,Male,No,None,Good,High
48,Other,No,3-5 times/week,Excellent,Low
55,Other,No,1-2 times/week,Excellent,Low
49,Female,No,3-5 times/week,Average,None
28,Other,Yes,Daily,Average,High
62,Male,Yes,Daily,Poor,None
42,Male,No,1-2 times/week,Good,Low
50,Female,No,1-2 times/week,Good,High
55,Male,No,Daily,Excellent,Moderate
58,Male,Yes,3-5 times/week,Good,Moderate
25,Male,Yes,None,Excellent,Low
28,Male,No,1-2 times/week,Average,None
39,Other,Yes,Daily,Poor,Moderate
68,Male,No,3-5 times/week,Average,Moderate
41,Female,Yes,1-2 times/week,Good,High
58,Female,No,3-5 times/week,Excellent,None
34,Male,No,None,Average,None
29,Female,Yes,1-2 times/week,Good,Moderate
63,Male,No,None,Excellent,Low
49,Female,No,None,Good,Moderate
32,Female,Yes,None,Good,None
33,Male,No,Daily,Poor,High
39,Male,No,None,Average,None
45,Other,Yes,None,Good,High
37,Male,Yes,3-5 times/week,Good,High
50,Male,Yes,Daily,Poor,High
27,Other,No,Daily,Poor,None
57,Male,No,Daily,Excellent,None
49,Male,Yes,Daily,Good,Low
67,Other,No,None,Good,Moderate
50,Male,Yes,3-5 times/week,Good,None
19,Male,No,None,Good,High
50,Other,Yes,None,Poor,None
50,Other,No,Daily,Average,None
58,Female,No,Daily,Poor,Moderate
30,Male,No,1-2 times/week,Excellent,None
47,Female,No,3-5 times/week,Poor,High
50,Female,Yes,Daily,Average,Moderate
30,Other,Yes,Daily,Good,Low
69,Male,No,None,Excellent,High
43,Male,No,None,Excellent,High
39,Other,No,None,Good,None
56,Female,No,Daily,Average,Low
19,Other,No,3-5 times/week,Poor,Moderate
55,Male,No,Daily,Good,Low
56,Other,Yes,Daily,Average,None
43,Male,No,3-5 times/week,Average,Low
63,Female,Yes,Daily,Average,High
67,Male,No,Daily,Good,High
32,Female,No,3-5 times/week,Average,Low
51,Female,No,Daily,Excellent,Low
59,Male,No,1-2 times/week,Excellent,High
61,Male,No,1-2 times/week,Poor,Low
66,Female,No,None,Poor,High
57,Other,No,Daily,Average,Low
28,Male,No,3-5 times/week,Average,Moderate
20,Female,No,3-5 times/week,Average,Moderate
23,Female,No,1-2 times/week,Poor,None
26,Other,No,None,Excellent,High
23,Male,No,Daily,Excellent,Moderate
26,Female,Yes,3-5 times/week,Good,High
56,Other,No,3-5 times/week,Poor,Moderate
48,Female,No,Daily,Average,None
49,Male,Yes,None,Excellent,High
58,Other,No,1-2 times/week,Good,Moderate
67,Female,No,Daily,Excellent,High
29,Other,Yes,Daily,Good,None
25,Male,No,Daily,Average,None
25,Other,No,1-2 times/week,Average,Moderate
67,Male,No,3-5 times/week,Excellent,Low
45,Female,No,Daily,Poor,None
37,Male,Yes,Daily,Excellent,Low
64,Female,No,Daily,Poor,None
24,Female,No,Daily,Excellent,Moderate
28,Male,No,None,Poor,Low
37,Female,Yes,None,Average,High
33,Other,No,None,Good,None
21,Female,No,3-5 times/week,Poor,Moderate
23,Male,Yes,Daily,Average,High
39,Other,No,Daily,Good,Low
43,Other,No,Daily,Average,Moderate
20,Female,No,Daily,Average,High
58,Female,No,1-2 times/week,Average,Moderate
59,Male,No,1-2 times/week,Poor,Low
31,Other,No,1-2 times/week,Average,High
28,Male,Yes,Daily,Average,None
35,Female,No,1-2 times/week,Average,None
29,Other,No,1-2 times/week,Poor,Moderate
40,Male,No,3-5 times/week,Excellent,None
29,Male,Yes,3-5 times/week,Average,Low
30,Male,Yes,1-2 times/week,Excellent,Low
42,Male,No,1-2 times/week,Average,High
62,Male,Yes,3-5 times/week,Poor,High
68,Other,No,1-2 times/week,Excellent,High
36,Male,Yes,Daily,Average,Moderate
63,Other,No,1-2 times/week,Excellent,Moderate
53,Male,No,Daily,Good,Low
62,Female,No,1-2 times/week,Excellent,Low
25,Female,Yes,None,Average,Moderate
46,Male,No,1-2 times/week,Excellent,High
49,Female,No,None,Average,Moderate
68,Other,No,1-2 times/week,Excellent,High
61,Male,Yes,1-2 times/week,Excellent,Low
35,Other,No,Daily,Poor,High
23,Male,Yes,3-5 times/week,Poor,Moderate
35,Female,No,3-5 times/week,Excellent,None
36,Other,Yes,Daily,Poor,Low
39,Female,No,3-5 times/week,Poor,Low
54,Female,No,None,Good,Moderate
49,Male,Yes,None,Average,Moderate
58,Other,No,1-2 times/week,Average,Low
20,Female,Yes,None,Good,Moderate
45,Male,Yes,3-5 times/week,Excellent,High
27,Male,No,None,Poor,High
68,Male,No,1-2 times/week,Average,High
52,Female,Yes,None,Good,None
46,Male,No,3-5 times/week,Average,Moderate
32,Other,No,Daily,Excellent,High
50,Other,No,1-2 times/week,Good,Low
24,Female,Yes,Daily,Excellent,High
29,Other,Yes,None,Excellent,High
66,Male,No,1-2 times/week,Good,Moderate
47,Female,No,1-2 times/week,Average,Low
38,Male,No,None,Poor,None
48,Female,No,1-2 times/week,Poor,Low
41,Female,Yes,None,Good,High
37,Male,No,Daily,Poor,None
54,Other,Yes,Daily,Excellent,None
21,Other,Yes,3-5 times/week,Average,None
45,Female,No,3-5 times/week,Good,None
61,Male,No,None,Excellent,None
37,Male,No,None,Excellent,Moderate
41,Female,No,Daily,Average,High
67,Other,Yes,1-2 times/week,Average,None
66,Male,No,None,Poor,High
68,Other,No,1-2 times/week,Average,Moderate
49,Other,No,3-5 times/week,Good,Moderate
58,Female,No,Daily,Good,Moderate
53,Female,Yes,None,Average,Low
51,Other,No,3-5 times/week,Average,Low
53,Male,No,None,Excellent,None
19,Male,No,3-5 times/week,Good,Moderate
32,Female,No,Daily,Poor,Low
51,Other,No,None,Excellent,Moderate
53,Male,No,None,Excellent,Low
23,Male,Yes,1-2 times/week,Poor,Moderate
56,Female,Yes,1-2 times/week,Poor,Low
59,Other,No,None,Average,High
68,Male,Yes,Daily,Average,None
68,Female,No,1-2 times/week,Excellent,None
29,Male,No,None,Good,High
20,Male,No,None,Good,None
62,Male,No,3-5 times/week,Excellent,Moderate
35,Female,No,Daily,Good,None
57,Other,No,1-2 times/week,Good,None
38,Female,No,1-2 times/week,Poor,Low
32,Other,No,3-5 times/week,Average,Low
50,Male,No,None,Average,High
52,Other,No,1-2 times/week,Excellent,Low
43,Male,Yes,None,Poor,High
25,Male,Yes,1-2 times/week,Good,None
53,Female,No,1-2 times/week,Excellent,Low
65,Male,No,None,Excellent,Low
47,Female,No,None,Good,None
40,Other,Yes,1-2 times/week,Average,Low
59,Other,No,3-5 times/week,Good,Moderate
61,Male,No,3-5 times/week,Excellent,Low
31,Female,No,3-5 times/week,Average,Moderate
31,Male,No,3-5 times/week,Excellent,High
19,Female,Yes,3-5 times/week,Poor,Low
54,Female,No,None,Average,Low
